"x","y"
-91.1959,39.9909
-89.3391,37.195
-89.4437,38.8863
-88.825,42.3223
-90.7561,39.9647
-89.535,41.4068
-90.6701,39.1668
-89.9394,42.0706
-90.2506,39.978
-88.2038,40.1429
-89.2845,39.5462
-87.7936,39.3362
-88.4949,38.7587
-89.4292,38.6057
-88.2235,39.5226
-87.8211,41.8435
-87.7691,39.0065
-88.2421,39.2768
-88.7759,41.8958
-88.9075,40.1798
-88.2211,39.7719
-88.0922,41.8557
-87.7487,39.6829
-88.0571,38.4199
-88.5927,39.0611
-89.0309,39.0013
-88.2272,40.6042
-88.9279,37.9958
-90.2115,40.4773
-88.2328,37.7693
-90.393,39.3587
-88.4254,41.2877
-88.5424,38.0852
-91.1723,40.4074
-88.2719,37.5223
-90.9308,40.822
-90.1379,41.3549
-87.8292,40.7496
-89.3897,37.7852
-88.1597,39.0155
-88.9278,38.3012
-90.3616,39.0845
-90.2127,42.3663
-88.8853,37.4656
-88.434,41.9406
-87.8651,41.1412
-88.4364,41.5916
-90.2199,40.9337
-88.0034,42.3201
-88.8937,41.3459
-87.7344,38.7252
-89.3042,41.7483
-88.5635,40.8956
-89.3741,40.1276
-90.6848,40.4578
-88.454,42.3238
-88.8535,40.4937
-88.9683,39.8629
-89.9291,39.2625
-89.9105,38.8304
-88.9232,38.6511
-89.3531,41.0357
-89.9233,40.2449
-88.7117,37.2201
-89.8059,40.0321
-90.7453,41.2075
-90.1793,38.2801
-89.4832,39.2315
-90.2064,39.7213
-88.6221,39.6431
-89.3254,42.0426
-89.7641,40.7926
-89.3725,38.0834
-88.5954,40.0139
-90.8936,39.6246
-88.5635,37.4192
-89.1242,37.2272
-89.2903,41.2076
-89.8322,38.054
-88.0908,38.7184
-90.5635,41.4725
-89.933,38.4721
-88.5439,37.7592
-89.6641,39.7615
-90.6221,40.1598
-90.4786,39.6476
-88.8083,39.3923
-89.8039,41.0969
-89.6635,42.3497
-89.5185,40.5099
-89.2593,37.4758
-87.738,40.1864
-87.846,38.4549
-90.6212,40.8507
-89.415,38.3511
-88.4286,38.4333
-88.1844,38.0925
-89.9174,41.7583
-87.9853,41.4482
-88.9327,37.7356
-89.1633,42.3345
-89.2161,40.7901
-84.9338,40.7624
-85.0646,41.1045
-85.9117,39.2006
-87.3179,40.613
-85.3232,40.4915
-86.478,40.0602
-86.2418,39.1909
-86.5656,40.5925
-86.3474,40.7729
-85.7152,38.4744
-87.1303,39.3913
-86.4785,40.3106
-86.4559,38.288
-87.0812,38.703
-84.9753,39.1469
-85.5142,39.3011
-84.9956,41.4076
-85.396,40.2374
-86.8865,38.3629
-85.8658,41.604
-85.1847,39.6341
-85.9123,38.3136
-87.2497,40.1319
-85.063,39.4086
-86.2717,41.0521
-87.5951,38.3131
-85.6566,40.5313
-86.9763,39.0359
-86.0571,40.0802
-85.7821,39.8273
-86.1185,38.1925
-86.5198,39.7771
-85.3999,39.935
-86.1175,40.4946
-85.4927,40.8398
-86.0458,38.9065
-87.1179,41.028
-84.9986,40.4519
-85.4473,38.7852
-85.6372,38.9976
-86.112,39.4852
-87.4247,38.6925
-85.8673,41.2498
-85.4284,41.6498
-87.3908,41.4224
-86.7452,41.5509
-86.4962,38.8405
-85.7221,40.1741
-86.1496,39.7845
-86.2707,41.3312
-86.8146,38.7075
-86.0469,40.7835
-86.5393,39.1584
-86.9046,40.052
-86.4553,39.479
-87.4006,40.9632
-85.425,41.4093
-84.9643,38.9544
-86.5031,38.5369
-86.8516,39.3077
-87.217,39.7785
-86.6467,38.0779
-87.2399,38.4024
-87.0773,41.4647
-87.8772,38.0233
-86.7038,41.0463
-86.8542,39.6641
-85.0071,40.1655
-85.273,39.1042
-85.4756,39.6149
-86.2939,41.6237
-85.7566,38.6831
-85.8047,39.5204
-87.0155,38.0141
-86.6529,41.2841
-84.992,41.648
-87.4265,39.0885
-85.0387,38.8308
-86.9009,40.4023
-86.0533,40.3194
-84.9253,39.6225
-87.5943,38.029
-87.4694,39.8617
-87.4015,39.4293
-85.7973,40.8542
-87.3616,40.3567
-87.282,38.0929
-86.1135,38.5972
-85.0089,39.8702
-85.2262,40.7467
-86.8703,40.7593
-85.5093,41.1468
-94.4787,41.3333
