"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
-1.55557226761392,0,0,0,0,0,0,0,-0.857821667664489,-0.135814388681041,0,-0.925518517630771,0,0,0,0,0,0,0,0,0,2.07624472953884,1.21650971809695,0,0,0,0,0,0,0,1.38356141316598,0,0,0.173794858627815,-0.827572244607773,0,0,-0.418987077380178,0,0,0,-0.898123306370991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.864433870534558,0,0,0,0,0,0,0,-0.0490082858560044,0,0,0,0,0,1.92408921209788,0,0,0,1.4454583810191,0,0,0,0,0,0,0,0,0.372307338605053,0,0.386861242775133,-1.20478979420647,0,0,0,0,0.192605696925352,-0.127209701856579,0,0,0,0,0,0,0,0,0.916185570226457,0,0.635914469495674,0,-1.65407296717066,0,0,-0.946059471129281,0,0,-0.21060610503304,0,0,-0.892718368482683,-0.863432925974712,0,0,0,0,0,1.76213547980607,0,0,0,-1.71020193248362,0,0,-0.606513849380183,0,0,0,0.0258050845764402,0,0,0,0,0,-1.38704085797355,0,0,0,-0.684074749080871,0,0,0,0,-0.317086071698274,0.203310743767911,0,-1.30540709206395,0,0,0,0,0,0,-0.753286176904441,0,-0.587581692099214,0,1.22942912124521,0,0,0,0,-0.604639561367676,0,0,0,0,0,0,0,-1.69802635797742,0,0,1.12983919677091,0,0,0,0,0,0,0,0,0,-0.873052278748286,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80557328571406,0,0,0,1.88068014467193,-0.682632123211794,0,-0.197155111314837,0,0,0,0,0,0,0,0,0,0,0,0.246436413364892,0,-2.24062959040072,0,0,0,0,0,0,0,-0.673169061325767,0,-2.4393899027414,0,0,0,0,0,0,0,0,-0.424191454364614,0,0,-1.016257457045,0,-0.960974597199028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21157803171934,0,0,0,0,-1.45466408449177,0,0,-0.458662332295901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358041801951901,0.523797437548039,0,-0.0239786365708259,0,0,0,0,0,0,-0.154105001327813,0,0,0,0,0,0,0,0,0,2.92568975115076,0,0,0,0,-0.763070182226516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.524313434372755,1.79887905156579,0,0,0,0,-1.46707237945721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46028317009652,0.860568289554465,0,0,0,0,0,0,0,0,-0.132848811506596,0,-0.581627753953773,1.28327681875193,0,-1.19303882832267,0,0,0,0,-0.714257754147716,0,0.214188314125895,-1.57143760288519,0,0,0,0,0,-0.993273377253806,0,-0.252795332838129,0
0,0,-2.39642330621786,0,0,-1.4602473562779,0,0,0,0,0,0,0,0,1.77531829916564,1.4181682555595,0,0,0.421291206970673,0,0,0.649055959304528,-1.46293559867833,2.32191663754568,0,-0.237361190516616,-0.523595241148275,0,-0.455700710556194,0,0,0,0,0,0,0.0187677058349514,0,0,0,0,0,0,0,0,0,0,0,1.07758800183585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05796835876502,0,0,2.58304729541548,0,0,0,0,0,1.08611209646372,0,-0.269950439181662,0,0,0,0,0,0,0,0,0,1.43626512498963,0,0,-0.516366402610835,0,0,-0.300207091489339,-1.04933616397709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01254029390458,0,0,0,0,0,-2.25150858908034,0,0,0,0,1.36055911185159,0,0,-0.805286352373911,0,0,0,0,0,0,0,0,1.48982028331816,0,0,0,0,0,2.36913047092103,0,0,-2.14723190915417,0,0,0,0,0,0,0,0,0,1.62479060284421,0,0,0,0,0,0,0,0,0,1.71398875711225,0,0,0,0,0,-1.73871436103252,0,0,0,2.01308230782438,0,1.27009558206334,0,0,0,-0.746311965412538,0,-1.78328399258761,0,1.37893762348528,-1.05545001732445,0,0,0,-1.02944703878958,0,0,0,0,-2.0994417657851,-1.94211861590206,0,0,0,0,0,0,0,0,0,0
-1.91329714076546,-1.83184845212865,-1.3669598039497,-1.35634649821258,0,0,0,-1.64092455449102,0,-1.51676510775778,-1.8053539530982,-1.64278640542863,-0.81845996912854,-1.65244927464853,-1.1698628377769,0,0,-2.30671689984526,-0.830577826220964,0,0,0,-1.22383819593979,-1.45442099301763,-1.58733225140731,0,-0.786146766002291,-1.08610022976614,-2.21594739574171,-0.848395296229217,-0.962029836150929,0,0,0,0,0,0,0,0,-1.69410297936174,0.946999048002609,-0.879831438196163,0,0,0,0,-1.60020729056816,-1.67173539301164,-1.80649125100893,-0.613943727622175,0,-1.35118443664228,-1.90636846643742,0,-1.28529931971945,-1.64748822499347,-1.62384069710746,0,0,0,-1.78428724626971,-1.28502662656674,0,-1.61986849568149,-1.77140897207773,0,0,-1.37128924250577,0,-1.1635246535231,0,0,0,-2.29705529565463,0,-1.5815123828584,-1.57554388712423,-1.31724298469859,-1.40709884318458,-1.12969629247652,0,0,-1.19797340862216,-1.27059872229496,0,0,0,0,0,-1.21718072079229,0,-1.98248956030257,0,-1.35829811498987,0,-1.2807838046496,0,-1.4675981676945,0,-1.34382748344455,-1.15261992768895,-1.39448811059825,-1.01570543434096,-1.02645944455089,-1.45648793558704,0,-1.25931473348549,0,-0.731807994998599,0,-0.996933785704591,-2.1964405980078,0,-1.78231883687126,-1.51228239993391,-0.899329152258904,-1.72283992952156,0,-2.06551936684301,0,0,0,0,0,-1.79279347077733,-1.85850450038379,-1.48510317087277,0,-2.13080334260657,-0.772126175736677,0,-0.861924917516516,-1.31050277966022,-1.55270133504629,-1.3949690983409,-1.32295678880692,-2.14316433378756,-1.7167132836428,-1.20548367749767,0,-0.954238671507703,0,0,0,-1.60299489754943,0,0,0,0,-1.4410054911652,-1.51146239131024,-1.52912923026771,-1.5260116696,0,0,-1.8076727059049,-1.02031975551279,0,0,-1.13822693510188,-2.32894020165588,0,0,0,-1.45641781845394,-1.50385399668765,-0.265291365166068,-1.12207423558886,-2.266793664613,-1.94404912978896,0,0,-1.13904279952313,-1.08620473000049,-1.82686836765428,0,-1.09025607297628,-1.76239072633762,-1.72851302565731,-1.89496379612676,-1.76208607131871,-1.11801141810281,0,0,0,0,-1.36430837823703,-2.19611368242838,-1.98666764449467,0,-1.27329409771367,0,0,0,0,0,-1.46610790342608,-1.62966012534042,0,-1.2531624722273
0,0,-1.14720107237675,0,0,0,0,0,0,1.87647181375636,0,0,0,0,-0.444656538252287,0,0,0,0,0,0,0,1.02382922625443,0,0,0,-0.821341980964191,0,0,1.20841113333702,0,0,0,-0.434673633597953,0,-0.0410308896724603,-1.59888525517721,-0.471929647681741,0,-0.18830444630006,0,0,0,0,0,0,0,0,0,0,1.31272828750864,0,0,0,-0.985864834546141,0,0,0,0,0,0,2.24732924059272,0,0,0,0,1.95953663839013,0,-1.42738140095604,0,-0.307019866033649,0,0,0,1.21516805596179,0,1.17725176011966,0,0.486173744463862,0,0,0,-0.585262000640412,-0.806390762103177,-1.35889767992166,0,0,0,0,0,0.675058841320944,0,1.29610072099819,0,2.15493837630401,0,0,0.470978567854992,0,1.76248420451191,0,0,0,0,0,0,0,0,0,0,0,1.09572053552012,0,0,-1.59721874986555,0,0,0,0,0,0,0,0,0,0,0,2.0295261619487,0,0,0,0,0,-0.672967711516602,0,0,0,-0.622332216129049,0,0,0,-1.06653266729294,0,0,0,0,0,0,0,-0.105203135187722,0,0,0,0,1.32304279088281,0,0,0,0,0.00582879214530152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394318391055962,0,0,0,0,0,0,0,0,0,0,0,-0.593573395086263,0,0,-0.994754835403993,0,0,0,0,0,0
0,-1.70482706996027,0,0,0,0,0,-0.455188947158634,0,0,-0.80516841003665,0,0,-0.735226094665535,0,0,0.377111222448388,0,0,0,0,0,0,-1.21489635481387,0,0,0,0,0,-1.30344751121888,0,0,-1.01370471976232,0,-0.412064345221768,0,0,0,0,-1.41222814669299,-0.757389643464574,0,0,0,0,0,0,0,0,-1.47269099443032,0,0,-2.00805348889806,-0.972794805090962,-0.936036420107303,0,-1.39858363642141,0,-1.29672553733341,0,-0.248002481296826,0,0,0,-0.665750833287396,0,-0.928140757578841,0,0,0,0,0,-0.737512100290395,0,0,0,0,0,0,0,0,0,0.433564451588619,0,0,0,0,0,-1.34348755107254,0,0,0,0,0.494675947922762,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.773497014778533,0,0,0.5117078055787,-1.01123833272421,0,0,0,0,-1.09357894888303,0,0,0,0,0,0,0,0,-0.592554895762127,0,0,0,0,0,0,0,0,0,1.27591963254922,0,0,0,0,0,-1.04776666782311,0,0,0,-0.862936178096952,0,0,1.55160385184967,0,0,0,0,0,0,0,0,0,-1.16991182193579,0,0,0,0,0,0,0,0,-1.01725815493303,-0.695457954406194,0,0,0,0,0,-1.25234849545409,0,0,0,0,0,-0.96046048433189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490920828972961,0,0,0,0
0,0,0,-0.506486473598637,-0.62126902888184,0,2.92664461905569,0,0,0,0,-0.239060666661738,0,-0.0240320805321943,-1.1426337003837,0,0,0,0,-0.713134400809115,0,-0.748255013032995,0,0,0,-0.0157450124655778,0,0,0,2.91395642032682,0,-2.62410020394558,0,0,0.664927915658495,0.290971672615269,0,0,0,0,-3.16448730450971,-0.187148468409543,0,0,0,0,0,0,0,0,-0.610835955788836,-0.57711516932858,1.40184025794691,0,0,0,0,0,-1.88241635628951,0,0,0,-0.81903551308433,0,0,-0.0945254298556784,0,0,0,0,0,1.20291990625082,0,0,0,-0.6602255224786,0,0,0,0,0,-0.539170965921262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00870161106910672,0,0,0,0,0,-0.866584761812407,0,0,-1.73187674879839,0.381287192839833,0,0,0,0,0,0,0.55716593838493,0,-1.61055124455102,0,1.84298171659304,0,0,-0.386691676685478,0,0,0,-1.64050427202589,0,1.40798636311596,0,0,0,0,0,-0.0691884594213086,3.35197875971916,0,0,0,0,1.32708103932364,0,0,0,0,0,0,0,0,0,0.130761515125847,0,0,0,0,1.5641011835202,0,0,0,0,-1.23055537922802,0,0,0,-0.0157063216399447,0,0,0,0,0,0,0,0,0,0,0,-0.652016242081284,0,0,0.523533720692228,0,0,0,0,0,0,0,0,0,0,-0.272723048592163,0,0,0,0,0
0.127373220021536,0,0,0,0,0,0,0,-0.958424645605668,0,0,0,-1.50055924752351,0,0,0,-0.606111286111702,-1.56083736488901,-1.64028939529461,0,-1.94133500420489,-1.53400318153608,0,0.567509356592904,-1.26442897680405,0,0,0,0,0,0,-0.136695638484372,0,0,0,0,0,0,0,0,-1.13165007520598,0,0,0,0,0,0,0,0,0,0,0.708530773558186,0,0,0,-1.44823344533515,0,0,0,0,0,0,0,-1.15387968521296,0,-1.38706546928177,0,0,-0.99933809723192,0,0,0,0,-0.942204751585729,0,-1.10071089913746,0,0,0,0,0,0,0,-1.91471989992816,-1.57075033505194,0,0,0,0,-0.316356475221625,0.237929306558723,-1.35308252475897,0,0,0,0,-1.24007682257024,0,-0.893223405707669,-0.346488682063349,0,-1.23890663272048,0,0,0,0,0,0,0,0,0,0,0,0,-1.35307180857928,0,-1.28679770883459,-1.72926489643065,0,0,-1.558636113531,0,-1.6256218172664,0,0,0,-1.22215728168032,0,0,-1.82736565173618,0.251245097636268,0,0,0,0,0,0,0,0,0,0.322483811200712,0,-1.47209190000383,0,0,0,0,-2.08352157435674,0,0,0,0,0,0,0,0.294416060791718,0,0,0,-1.70609488171388,0,0.224710880208839,0.469046681989727,0,0,-2.17022203943027,0,0,0,-1.26761873731659,0,0,0,-1.39183723302777,-0.915997446138615,0,-1.46040934173041,-1.78018088871288,0,0,0,0,-1.25474804492764,0,-1.26198087346871,-1.45580705247572,0,0,0,-1.22583397387512,0,-0.582240744483072,-1.02941617676762,0,-0.765842890135345,0,0,0,0,0
1.22915854324198,0,0,0,0,-1.29649239014604,0,0,0,-0.160151393931148,0.756017054220484,0.888204895010829,0,-0.349634217678947,0,0,0,0,0,0,0,0,1.91768152024898,0,0,0,0,0,0.549504069769562,0,0,0,1.4400451165012,0,0,-0.277922528005239,0,0,0,-1.4042413282292,0,-0.451749505289124,1.08313756914994,0,-0.825856176624391,0.283454182122723,0,0.03269409780426,0,0,0.762336005838328,0,0,0,0,0,0,-0.256455645520552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.444320282500854,0,0,0,0,0,0,-1.3931654689178,0,0,1.33159297895721,0,0,0,0,0,0,-0.297284695157984,0,0,0,-0.139214598051282,0,0,0,0,0,0,0,-1.03810822509674,0,0,0,0,1.77554761569334,0,0,0,0,1.11733278581274,0,-0.00824733593290672,1.22384244240049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35070473597003,0,0,0,0,0,-0.834825432326056,0.954208068709383,-1.18387443745882,0,0,0,1.05962114446484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26497488393423,0,0,-0.415741920783299,0,0,0,0,0,1.35596047535412,1.16121402989817,1.45813197690403,0,0,0,-0.605038796580689,0.718240832240407,0,0,0,0,0,-1.3014487900114,0,0,0,0,0,0,-0.155468997037037,0,0,0,0,0,0,0,0.904514800908164,1.74429789173153,0
0,0,0.334380373561751,0,0,0,0,0,-1.57843037766324,0,0,0,0,0,-0.573037505637101,0,0,0,0,0,-0.999400330980606,0,0,0,0,0,0,0,0,0,0,-1.38868465885502,0,0,0,0,0,0.719398223722624,0,0,0,0,0,0,0,-0.907087182805673,0,0,-0.882003536034362,0,0,-3.1532334733567,-1.228619009661,0,0,0,0,0,0,0,0,-1.70483860319672,0,0,0,-1.85338726776506,0,0,0,0,-0.89668517206109,-1.15744190172595,0,0.623011304081267,0,0,-1.19251463541161,0,0,0,0,0,0,-0.468164236380732,0,0,0,0,0,0,0,-0.673582368185184,0,0,0,0,0,0,-0.879657426101092,-0.607452186374708,0,-1.05866210328594,0,-0.649746778361429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.978226846555419,0,0,-1.08026935062347,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.870049984119296,0,0,0,0,-0.813141017213455,0,0,0,0,0,-0.926140941406665,0,-1.06535039021767,0,0,0,0,0,0,0,0,0,-1.43971315823216,0,0,-1.25330004269592,0,0,-1.45490790408433,0,0,0,-1.06648983355759,-0.88617458683181,0,0,0.283831667047936,0,0,0,0,0,0,0,0,0,0,0,0,-1.00678845051417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.82222885856392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82824470532255,0,0,0,0,0,0,-1.76358402125174,0,0,0,0,0,0,0,0,0,0,0,0,1.21737309963921,0,0,0,-0.798777920343255,0,-0.792417776583973,0,0,-0.836924603676927,0,0,0.290898657659886,0,-1.13394092671433,0,0,0,0,0,0,0,0,0,0,0,-1.06165295477115,0,0,0,0,0.774358925846446,0,0,0,0,0,0,0,-0.141384645797395,0,0,0,-0.493311985259252,0.544651924379142,-1.34164190518813,0,-0.298082865344972,0,0,1.38396340186869,0,0,0,0,0.834920510653527,0,-1.21802498890689,0,0,0,0.928588158655526,0,0,0,0,0,0,0,-0.308965053548549,0,0,-0.247733846559559,0,0,-1.09435392990044,0,-0.428508607854509,0,0,0,0,0,0,0,0,0,0,0,0.615830927412393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.599920361927913,0,0,0,-1.20168644780406,0,1.26791421148089,0,0.816797203203727,-2.07479536802776,0,0,0,0,0,0,1.65165026090878,0,0,0,-0.876085546662905,1.13003360482143,0,0,0,0,0,-0.761761148011624,0,-0.399684415542412,0,-0.625610075755592,0,0,0,0,0,1.66563231692638,0,0,-1.28573434227651,0,0,0,0,0,0,0,0,0,0,0,0,-0.293347409220775,0,1.60417636454599,0
0,-1.39328926117696,0.694570459494225,0,0,0,0,0,0,0,0,0,0,0,-0.799899616715475,0,0,0,-0.771757318355485,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.874436583913444,0,0.66375220183447,-1.03257248326466,0,0,0,0,0,0,0.626514180687773,0,0,0,0,0,0,0,0,0.63065158112218,0,0,0,-0.866411150887766,0,0,0,0,0,-0.137436743117609,-1.92700112828883,0,0,0,0,0,0,0,0,-0.973236411273136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.591484254345552,0,0,0,-1.19370469126804,0,0,1.11427140838862,0,0,0,0,0,0,0,0,0,0,0,0,-1.49682294867339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443928633104781,0,0,0,0,0,0,-1.38073562087397,0,0,0,0,0,-1.19912416594249,0,0,0,0,0,0,0,0,-1.50700567561285,0.87787057677901,0,0,0,0,0,0,0,0,-1.57355756453642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869559430616224,0,0,-2.29621608311933,0,-0.786595592791125,0,0,-0.926335402426332,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.31752294310082,0,0,0,0,0,0,-1.71064503301252,-0.823474148734033,0,0,0,0,0,0,0,0,-0.759790945406891,0,0,0,0,0,0,0,0,-0.277028515999547,0,0,0,1.35081660701819,0,0,0,0,0,-0.663556210949054,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76589818043184,0,-1.05521201804603,0,0,0,0,-0.509930270896003,0,-0.603614699776556,0,0,0.0969438725248661,0,0,0,-0.99720348932743,0,0,-1.90527534372481,0,0,0,0,0,-0.782478655978559,0,0,0,-0.647864972807002,0,0,0,0,0,0,0,0,0,-0.888151842300416,0.769867197330685,0,0,0,-1.09024738144183,0,0,0.892397048646083,0.390253280759069,-0.87764696690612,0,0,0.0857966414170583,-2.45565424225216,0,0,0,0,0,0,0,0,0,0,-2.01768960584363,-0.551838184153679,0,-0.846107307414211,0,-0.269127688887876,0,0,-1.9566221152022,0,-2.11542315493264,0,0,0,0,0,0,0,0,0,-1.27269215182562,0,0.299565921336523,0,0,-0.373662024313841,0,1.84301939334149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.90112840225969,0,0,-0.889001040937883,0,0.891125585041195,0,0,0,0,0,0,-0.825992598428217,0,-0.849793703680414,0,0,0,0,1.44879268649422,0,0,0,0,0.850873229109798,0,-2.30304294080766,0,0,0,0,0
